Major,Major Category,Men,Women,More Men than Women?,Employed,Unemployed,Median Income
Accounting,Business,72061,68967,TRUE,103915,2640,50000
Actuarial Science,Business,590,381,TRUE,820,20,74000
Advertising and Public Relations,Communications & Journalism,4498,9219,FALSE,11101,383,45000
Aerospace Engineering,Engineering,7305,742,TRUE,5562,133,74000
Agricultural Economics,Agriculture & Natural Resources,2832,663,TRUE,2544,36,48000
Agriculture Production and Management,Agriculture & Natural Resources,6520,2016,TRUE,6764,99,45000
Animal Sciences,Agriculture & Natural Resources,5642,5738,FALSE,8928,145,40000
Anthropology and Archeology,Humanities & Liberal Arts,5877,11195,FALSE,12195,486,33000
Applied Mathematics,Computers & Mathematics,1676,1027,TRUE,2130,58,66000
Architectural Engineering,Engineering,1103,320,TRUE,1072,20,62000
Architecture,Engineering,17924,8972,TRUE,20588,583,51000
Area Ethnic and Civilization Studies,Humanities & Liberal Arts,4313,8327,FALSE,9217,308,40000
Art and Music Education,Education,8644,16536,FALSE,15217,276,17500
Art History and Criticism,Humanities & Liberal Arts,1545,8029,FALSE,6382,225,28000
Astronomy and Astrophysics,Physical Sciences,520,216,TRUE,555,18,47500
Atmospheric Sciences and Meteorology,Physical Sciences,1295,444,TRUE,1287,28,50000
Biochemical Sciences,Biology & Life Science,7635,6149,TRUE,11024,273,60000
Biological Engineering,Engineering,2878,979,TRUE,2925,62,50000
Biology,Biology & Life Science,61746,63892,FALSE,93728,2207,50000
Biomedical Engineering,Engineering,2306,1541,TRUE,3258,109,65000
Botany,Biology & Life Science,1019,1067,FALSE,1224,43,23000
Business Economics,Business,4496,2212,TRUE,4990,157,55000
Business Management and Administration,Business,130860,100707,TRUE,167962,5160,45000
Chemical Engineering,Engineering,16812,5912,TRUE,15944,449,65000
Chemistry,Physical Sciences,29413,16982,TRUE,30435,799,45000
Civil Engineering,Engineering,30187,5680,TRUE,25923,586,65000
Clinical Psychology,Psychology & Social Work,577,1212,FALSE,1229,42,32000
Cognitive Science and Biopsychology,Biology & Life Science,452,647,FALSE,927,29,52000
Commercial Art and Graphic Design,Arts,11919,23332,FALSE,26919,1062,35000
Communication Disorders Sciences and Services,Health,1068,16261,FALSE,12234,197,39000
Communication Technologies,Computers & Mathematics,3254,1807,TRUE,4143,222,40000
Communications,Communications & Journalism,30012,47904,FALSE,62198,2129,44000
Community and Public Health,Health,2121,5754,FALSE,6042,210,36000
Composition and Rhetoric,Humanities & Liberal Arts,2044,3580,FALSE,4370,225,32000
