RANK,NAME,TEAM,POS,AGE,FTA,FT_PCT,TwoPA,TwoP_PCT,ThreePA,ThreeP_PCT,eFG_PCT,TS_PCT
1,Marc Gasol,Tor,C,34.37,46,0.87,91,0.462,89,0.382,0.517,0.564
2,Danny Green,Tor,G-F,31.98,23,0.913,36,0.389,119,0.328,0.468,0.503
3,Serge Ibaka,Tor,F-C,29.74,42,0.762,155,0.535,38,0.237,0.5,0.532
4,Kawhi Leonard,Tor,F,27.96,216,0.884,351,0.536,145,0.379,0.545,0.619
5,Kyle Lowry,Tor,G,33.22,81,0.802,133,0.526,145,0.359,0.532,0.576
6,Pascal Siakam,Tor,F,25.2,87,0.759,279,0.541,104,0.279,0.508,0.54
7,Fred VanVleet,Tor,G,25.3,31,0.774,68,0.397,98,0.388,0.506,0.534
8,Norman Powell,Tor,F-G,26.06,19,0.737,64,0.5,62,0.387,0.54,0.558
9,Stephen Curry,Gol,G,31.25,157,0.943,187,0.524,244,0.377,0.548,0.62
10,Draymond Green,Gol,F,29.28,71,0.718,171,0.591,57,0.228,0.529,0.563
11,Shaun Livingston,Gol,G,33.76,25,0.84,73,0.466,2,0,0.453,0.517
12,Kevon Looney,Gol,F,23.35,29,0.724,93,0.688,0,0,0.688,0.704
13,Alfonzo McKinnie,Gol,F,26.74,10,0.4,27,0.593,32,0.313,0.525,0.521
14,Klay Thompson,Gol,G,29.35,41,0.902,202,0.465,158,0.443,0.553,0.575
15,Al-Farouq Aminu,Por,F,28.73,36,0.75,58,0.397,51,0.294,0.417,0.473
16,Zach Collins,Por,F-C,21.57,25,0.8,60,0.567,21,0.333,0.549,0.592
17,Seth Curry,Por,G,28.81,11,0.818,30,0.3,52,0.404,0.494,0.518
18,Maurice Harkless,Por,F,26.09,36,0.639,81,0.556,28,0.25,0.509,0.537
19,Rodney Hood,Por,G,26.65,44,0.818,60,0.567,51,0.353,0.55,0.606
20,Enes Kanter,Por,C,27.07,41,0.756,142,0.521,4,0.25,0.517,0.555
21,Damian Lillard,Por,G,28.92,114,0.833,172,0.459,158,0.373,0.508,0.566
22,CJ McCollum,Por,G,27.74,56,0.732,233,0.464,117,0.393,0.506,0.527
23,Evan Turner,Por,G-F,30.63,15,0.8,45,0.311,1,1,0.337,0.409
24,Andre Iguodala,Gol,G-F,35.38,37,0.378,86,0.628,80,0.35,0.578,0.565
25,Giannis Antetokounmpo,Mil,F,24.52,168,0.637,207,0.536,55,0.327,0.527,0.57
26,Eric Bledsoe,Mil,G,29.51,51,0.706,113,0.522,72,0.236,0.457,0.494
27,Pat Connaughton,Mil,G,26.44,8,0.5,35,0.629,42,0.357,0.578,0.577
28,George Hill,Mil,G,33.11,33,0.818,70,0.614,48,0.417,0.619,0.653
29,Ersan Ilyasova,Mil,F,32.08,25,0.8,41,0.561,40,0.3,0.506,0.554
30,Brook Lopez,Mil,C,31.2,29,0.828,59,0.661,75,0.293,0.537,0.572
31,Khris Middleton,Mil,F,27.84,52,0.885,109,0.404,92,0.435,0.517,0.567
32,Will Barton,Den,G,28.44,26,0.692,80,0.4,55,0.273,0.404,0.434
33,Malik Beasley,Den,G,22.55,31,0.71,46,0.37,47,0.404,0.489,0.53
34,Torrey Craig,Den,F,28.49,16,0.563,33,0.485,36,0.472,0.601,0.605
35,Gary Harris,Den,G,24.75,38,0.868,101,0.525,57,0.351,0.525,0.569
